,0
0,"['Coronavirus World News: Live Updates on U.K., Europe, Asia and Latin America']"
1,['2020 is a catastrophe for tourism businesses. Here\'s what the industry needs to get back on its feet']
2,['The future of tourism in the coronavirus era: Asia may hold answers to what\'s ahead']
3,['What is the future for travel and migration in age of Covid-19?']
4,['Travel changed after 9/11; Here\'s how it will look after the Covid-19 pandemic finally recedes']
5,"['Airlines are on the brink of bankruptcy — what happens to your voucher, travel miles and airline credit card if they go belly up?']"
6,"['Coronavirus: The airlines, hotels and cruise lines that impressed us — or let us down']"
7,"['Like ‘stationary cruise ships’: Prisons, factories emerging as deadly coronavirus transit hubs']"
8,"['To combat coronavirus, Sea-Tac Airport is stretching lines, blocking seats — but some ask what took so long']"
9,"['Royal Caribbean Cruises expects $1.44B coronavirus loss in first quarter, launches $3.3B bond offering']"
10,['Airports consider requiring ‘immunity passports’ before allowing passengers to board']
11,['Air parade above metro area to raise funds for Colorado COVID-19 relief']
12,['The future of travel: A new tracing system could help track COVID-19 positive passengers']
13,['Airport coronavirus precautions could mean arriving 4 hours before departure']
14,"['Out-of-state travelers asked to stay away from Colorado until the time is right, according to the Colorado Tourism Office']"
15,['Royal Caribbean Sees a $453 Million Hit From COVID-19 Through Late March']
16,['I Just Flew. It Was Worse Than I Thought It Would Be.']
17,"['Airports testing out thermal cameras, other coronavirus tech']"
18,['CDC scientists overruled in White House push to restart airport fever screenings for COVID-19']
19,['Lost to coronavirus: Birthday cruise along the Nile became a death sentence']
20,['Video shows how quickly COVID-19 can spread in buffet-style restaurant setting']
21,['‘It’s Surreal Walking Through the Empty Airports’']
22,['Live updates: Colleges opening in fall is up for debate; grave alarm raised on economy']
23,"['Answering Your Coronavirus Questions: Nursing Homes, Death Toll And Summer Travel']"
24,"['Air Canada, WestJet could be set for coronavirus help from Canada']"
25,['First Thing: surge in new Covid-19 infections in Republican heartlands']
26,['Goldman Sachs warns jet fuel demand may never fully recover from the crisis']
27,['Union airport workers at Reagan National demand coronavirus protection']
28,['Cruise Ship Photographer’s Once-in-a-Lifetime Shot Anchors Just Out of Reach']
29,['Coronavirus: UK should have quarantined airport arrivals \'much earlier\' in COVID-19 outbreak']
30,['Travelport Gets Stiffed by Coronavirus as Wex Walks Away From $1.7 Billion Payments Deal']
31,"['Solo for Flute, Airport Terminal and One Listener']"
32,['Here are the top 10 places well-heeled travelers are booking for the holidays']
33,"['These are the trips people are dreaming about during the pandemic, according to Internet data']"
34,['Two-week quarantine: Summer vacations with strings attached']
35,['How the Coronavirus Will Change Airports']
36,['In nautical limbo']
37,['COVID-19: List of Airlines That Didn\'t Survive - SamChui.com']
38,"['Here\'s What Summer Travel Might Actually Look Like, According to Experts (Video)']"
